AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
WPEC	BCH		Cakung Airport	Baucau, East Timor
WPMN	MPT		Maliana Airport	Maliana, East Timor (Timor-Leste)
WPVQ	VIQ		Viqueque Airport	Viqueque, East Timor
WRBB	BDJ		Syamsudin Noor Airport	Banjarmasin, South Kalimantan, Indonesia
WRBK	KBU		Stagen Airport	Kotabaru, Kalimantan, Indonesia
WRKA	ABU		Haliwen Airport	Atambua, Indonesia
WRKB	BJW		Bajawa Airport	Bajawa, Indonesia
WRKL	LKA		Gewayenta Airport	Larantuka, Indonesia
WRLB	LBW		Juvai Semaring Airport (Long Bawan Airport)	Long Bawan, East Kalimantan, Indonesia
WRLC	BXT		Bontang Airport	Bontang, Indonesia
WRLF	NNX		Nunukan Airport	Nunukan, East Kalimantan, Indonesia
WRLP	LPU		Long Apung Airport	Long Apung, Indonesia
WRSC	CPF		Ngloram Airport	Cepu, Indonesia
WSAP	QPG		Paya Lebar Air Base	Paya Lebar, Singapore
WSAT	TGA		Tengah Air Base	Tengah, Singapore
WSSL	XSP		Seletar Airport	Seletar, Singapore
WSSS	SIN		Singapore Changi Airport	Changi, Singapore
YABA	ALH		Albany Airport	Albany, Western Australia, Australia
YAGD	AUD		Augustus Downs Airport	Augustus Downs, Queensland, Australia
YALA	MRP		Marla Airport	Marla, South Australia, Australia
YAMC	AXC		Aramac Airport	Aramac, Queensland, Australia
YAMK	ADO		Andamooka Airport	Andamooka, South Australia, Australia
YAMT	AMT		Amata Airport	Amata, Northern Territory, Australia
YAPH	ABH		Alpha Airport	Alpha, Queensland, Australia
YARA	ARY		Ararat Airport	Ararat, Victoria, Australia
YARG	GYL		Argyle Airport	Argyle, Western Australia, Australia
YARM	ARM		Armidale Airport	Armidale, New South Wales, Australia
YARY	AAB		Arrabury Airport	Arrabury, Queensland, Australia
YAUR	AUU		Aurukun Airport	Aurukun, Queensland, Australia
YAUV	AVG		Auvergne Airport	Auvergne, Northern Territory, Australia
YAYE	AYQ		Ayers Rock Airport	Yulara, Northern Territory, Australia
YAYR	AYR		Ayr Airport	Ayr, Queensland, Australia
YBAM	ABM		Bamaga Injinoo Airport	Bamaga, Queensland, Australia
YBAR	BCI		Barcaldine Airport	Barcaldine, Queensland, Australia
YBAS	ASP		Alice Springs Airport	Alice Springs, Northern Territory, Australia
YBAU	BDD		Badu Island Airport	Badu Island, Queensland, Australia
YBAW	BKP		Barkly Downs Airport	Barkly Downs, Queensland, Australia
YBBN	BNE		Brisbane Airport	Brisbane, Queensland, Australia
YBCG	OOL		Gold Coast Airport	Coolangatta, Queensland, Australia
YBCK	BKQ		Blackall Airport	Blackall, Queensland, Australia
YBCS	CNS		Cairns International Airport	Cairns, Queensland, Australia
YBCV	CTL		Charleville Airport	Charleville, Queensland, Australia
YBDF	BDW		Bedford Downs Airport	Bedford Downs, Western Australia, Australia
YBDG	BXG		Bendigo Airport	Bendigo, Victoria, Australia
YBDV	BVI		Birdsville Airport	Birdsville, Queensland, Australia
YBEO	BTX		Betoota Airport	Betoota, Queensland, Australia
YBGO	BQW		Balgo Hill Airport	Balgo Hill, Western Australia, Australia
YBHI	BHQ		Broken Hill Airport	Broken Hill, New South Wales, Australia
YBHM	HTI		Great Barrier Reef Airport	Hamilton Island, Queensland, Australia
YBIE	BEU		Bedourie Airport	Bedourie, Queensland, Australia
YBKE	BRK		Bourke Airport	Bourke, New South Wales, Australia
YBKT	BUC		Burketown Airport	Burketown, Queensland, Australia
YBLA	BLN		Benalla Airport	Benalla, Victoria, Australia
YBLC	LCN		Balcanoona Airport	Balcanoona, South Australia, Australia
YBLL	BLS		Bollon Airport	Bollon, Queensland, Australia
YBMA	ISA		Mount Isa Airport	Mount Isa, Queensland, Australia
YBMK	MKY		Mackay Airport	Mackay, Queensland, Australia
YBNA	BNK		Ballina Airport	Ballina, New South Wales, Australia
YBNS	BSJ		Bairnsdale Airport	Bairnsdale, Victoria, Australia
YBOI	GIC		Boigu Island Airport	Boigu Island, Queensland, Australia
YBOU	BQL		Boulia Airport	Boulia, Queensland, Australia
YBPI	BMP		Brampton Island Airport	Brampton Island, Queensland, Australia
YBPN	PPP		Whitsunday Coast Airport	Proserpine, Queensland, Australia
YBRK	ROK		Rockhampton Airport	Rockhampton, Queensland, Australia
YBRL	BOX		Borroloola Airport	Borroloola, Northern Territory, Australia
YBRM	BME		Broome International Airport	Broome, Western Australia, Australia
YBRN	BZD		Balranald Airport	Balranald, New South Wales, Australia
YBRW	BWQ		Brewarrina Airport	Brewarrina, New South Wales, Australia
YBSU	MCY		Sunshine Coast Airport	Marcoola, Queensland, Australia
YBTH	BHS		Bathurst Airport	Bathurst, New South Wales, Australia
YBTI	BRT		Bathurst Island Airport	Bathurst Island, Northern Territory, Australia
YBTL	TSV		Townsville Airport	Townsville, Queensland, Australia
YBTR	BLT		Blackwater Airport	Blackwater, Queensland, Australia
YBUD	BDB		Bundaberg Airport	Bundaberg, Queensland, Australia
YBUN	BUY		Bunbury Airport	Bunbury, Western Australia, Australia
YBWN	ZBO		Bowen Airport	Bowen, Queensland, Australia
YBWP	WEI		Weipa Airport	Weipa, Queensland, Australia
YBWX	BWB		Barrow Island Airport	Barrow Island, Western Australia, Australia
YBYS	BVZ		Beverley Springs Airport	Beverley Springs, Western Australia, Australia
YCAG	CGV		Caiguna Airport	Caiguna, Western Australia, Australia
YCAH	CLH		Coolah Airport	Coolah, New South Wales, Australia
YCAR	CVQ		Carnarvon Airport	Carnarvon, Western Australia, Australia
YCAS	CSI		Casino Airport	Casino, New South Wales, Australia
YCBA	CAZ		Cobar Airport	Cobar, New South Wales, Australia
YCBB	COJ		Coonabarabran Airport	Coonabarabran, New South Wales, Australia
YCBP	CPD		Coober Pedy Airport	Coober Pedy, South Australia, Australia
YCBR	CRB		Collarenebri Airport	Collarenebri, New South Wales, Australia
YCCA	CCL		Chinchilla Airport	Chinchilla, Queensland, Australia
YCCT	CNC		Coconut Island Airport	Coconut Island (Poruma Island), Queensland, Australia
YCCY	CNJ		Cloncurry Airport	Cloncurry, Queensland, Australia
YCDO	CBX		Condobolin Airport	Condobolin, New South Wales, Australia
YCDR	CUD		Caloundra Airport	Caloundra, Queensland, Australia
YCDU	CED		Ceduna Airport	Ceduna, South Australia, Australia
YCEE	CVC		Cleve Airport	Cleve, South Australia, Australia
YCFS	CFS		Coffs Harbour Airport	Coffs Harbour, New South Wales, Australia
YCHT	CXT		Charters Towers Airport	Charters Towers, Queensland, Australia
YCKI	CKI		Croker Island Airport	Croker Island, Northern Territory, Australia
YCKN	CTN		Cooktown Airport	Cooktown, Queensland, Australia
YCMT	CMQ		Clermont Airport	Clermont, Queensland, Australia
YCMU	CMA		Cunnamulla Airport	Cunnamulla, Queensland, Australia
YCMW	CML		Camooweal Airport	Camooweal, Queensland, Australia
YCNK	CES		Cessnock Airport	Cessnock, New South Wales, Australia
YCNM	CNB		Coonamble Airport	Coonamble, New South Wales, Australia
YCOE	CUQ		Coen Airport	Coen, Queensland, Australia
YCOO	CDA		Cooinda Airport	Cooinda, Northern Territory, Australia
YCOR	CWW		Corowa Airport	Corowa, New South Wales, Australia
YCRG	CYG		Corryong Airport	Corryong, Victoria, Australia
YCRK	CXQ		Christmas Creek Airport	Christmas Creek Station, Western Australia, Australia
YCRY	CDQ		Croydon Airport	Croydon, Queensland, Australia
YCSV	KCE		Collinsville Airport	Collinsville, Queensland, Australia
YCTM	CMD		Cootamundra Airport	Cootamundra, New South Wales, Australia
YCUA	CUG		Cudal Airport	Cudal, New South Wales, Australia
YCUE	CUY		Cue Airport	Cue, Western Australia, Australia
YCWI	CWR		Cowarie Airport	Cowarie, South Australia, Australia
YCWL	CCW		Cowell Airport	Cowell, South Australia, Australia
YCWR	CWT		Cowra Airport	Cowra, New South Wales, Australia
YDAJ	DJR		Dajarra Airport	Dajarra, Queensland, Australia
YDAY	DBY		Dalby Airport	Dalby, Queensland, Australia
YDBI	DRN		Dirranbandi Airport	Dirranbandi, Queensland, Australia
YDBR	DNB		Dunbar Airport	Dunbar, Queensland, Australia
YDBY	DRB		Derby Airport	Derby, Western Australia, Australia
YDIX	DXD		Dixie Airport	Dixie, Queensland, Australia
YDKI	DKI		Dunk Island Airport	Dunk Island, Queensland, Australia
YDLK	DLK		Dulkaninna Airport	Dulkaninna, South Australia, Australia
YDLQ	DNQ		Deniliquin Airport	Deniliquin, New South Wales, Australia
YDLT	DDN		Delta Downs Airport	Delta Downs, Queensland, Australia
YDLV	DLV		Delissaville Airport	Delissaville, Northern Territory, Australia
YDMG	DMD		Doomadgee Mission Airport	Doomadgee Mission, Queensland, Australia
YDOR	DRD		Dorunda Airport	Dorunda, Queensland, Australia
YDPD	DVP		Davenport Downs Airport	Davenport Downs, Queensland, Australia
YDPO	DPO		Devonport Airport	Devonport, Tasmania, Australia
YDRA	DOX		Dongara Airport	Dongara, Western Australia, Australia
YDRH	DHD		Durham Downs Airport	Durham Downs, Queensland, Australia
YDRI	DRR		Durrie Airport	Durrie, Queensland, Australia
YDVR	DKV		Docker River Airport	Docker River, Northern Territory, Australia
YDYS	DYA		Dysart Airport	Dysart, Queensland, Australia
YECH	ECH		Echuca Airport	Echuca, Victoria, Australia
YECL	EUC		Eucla Airport	Eucla, Western Australia, Australia
YEDA	ETD		Etadunna Airport	Etadunna, South Australia, Australia
YEEB	ENB		Eneabba Airport	Eneabba, Western Australia, Australia
YELD	ELC		Elcho Island Airport	Elcho Island, Northern Territory, Australia
YEMG	ERG		Eromanga Airport	Eromanga, Queensland, Australia
YEML	EMD		Emerald Airport	Emerald, Queensland, Australia
YERN	ERB		Pukatja Airport (Ernabella Airport)	Pukatja, South Australia, Australia
YESP	EPR		Esperance Airport	Esperance, Australia
YEVD	EVH		Evans Head Memorial Aerodrome	Evans Head, New South Wales, Australia
YEXM	EXM		Exmouth Airport	Western Australia, Australia
YFBS	FRB		Forbes Airport	Forbes, New South Wales, Australia
YFDF	KFE		Dave Forest Airport	Cloudbreak / Western Australia, Australia
YFIL	FLY		Finley Airport	Finley, New South Wales, Australia
YFLI	FLS		Flinders Island Airport	Flinders Island, Tasmania, Australia
YFNE	FIK		Finke Airport	Finke, Northern Territory, Australia
YFRT	FOS		Forrest Airport	Forrest, Western Australia, Australia
YFTZ	FIZ		Fitzroy Crossing Airport	Fitzroy Crossing, Western Australia, Australia
YGAM	GBP		Gamboola Airport	Gamboola, Queensland, Australia
YGAY	GAH		Gayndah Airport	Gayndah, Queensland, Australia
YGBI	GBL		Goulburn Island Airport	Goulburn Island, Northern Territory, Australia
YGDH	GUH		Gunnedah Airport	Gunnedah, New South Wales, Australia
YGDI	GOO		Goondiwindi Airport	Goondiwindi, Queensland, Australia
YGDN	GDD		Gordon Downs Airport	Gordon Downs, Western Australia, Australia
YGDS	GGD		Gregory Downs Airport	Gregory Downs, Queensland, Australia
YGDW	GTS		Granite Downs Airport	Granite Downs, South Australia, Australia
YGEL	GET		Geraldton Airport	Geraldton, Western Australia, Australia
YGFN	GFN		Grafton Airport	Grafton, New South Wales, Australia
YGIB	GBV		Gibb River Airport	Gibb River, Western Australia, Australia
YGKL	GKL		Great Keppel Island Airport	Great Keppel Island, Queensland, Australia
YGLA	GLT		Gladstone Airport	Gladstone, Queensland, Australia
YGLB	GUL		Goulburn Airport	Goulburn, New South Wales, Australia
YGLE	GLG		Glengyle Airport	Glengyle, Queensland, Australia
YGLG	GEX		Geelong Airport	Grovedale, Victoria, Australia
YGLI	GLI		Glen Innes Airport	Glen Innes, New South Wales, Australia
YGLO	GLM		Glenormiston Airport	Glenormiston, Queensland, Australia
YGNV	GVP		Greenvale Airport	Greenvale, Queensland, Australia
YGPT	GPN		Garden Point Airport	Pirlangimpi, Northern Territory, Australia
YGSC	GSC		Gascoyne Junction Airport	Gascoyne Junction, Western Australia, Australia
YGTE	GTE		Groote Eylandt Airport	Groote Eylandt, Northern Territory, Australia
YGTH	GFF		Griffith Airport	Griffith, New South Wales, Australia
YGTN	GTT		Georgetown Airport	Georgetown, Queensland, Australia
YGTO	GEE		George Town Aerodrome	George Town, Tasmania, Australia
YGYM	GYP		Gympie Airport	Gympie, Queensland, Australia
YHAW	HWK		Wilpena Pound	Hawker, South Australia, Australia
YHAY	HXX		Hay Airport	Hay, New South Wales, Australia
YHBA	HVB		Hervey Bay Airport	Hervey Bay, Queensland, Australia
YHBR	HUB		Humbert River Airport	Humbert River, Northern Territory, Australia
YHBY	HRY		Henbury Airport	Henbury, Northern Territory, Australia
YHDY	HIP		Headingly Airport	Headingly, Queensland, Australia
YHHY	HIG		Highbury Airport	Highbury, Queensland, Australia
YHID	HID		Horn Island Airport	Horn Island, Queensland, Australia
YHIL	HLL		Hillside Airport	Hillside, Western Australia, Australia
YHLC	HCQ		Halls Creek Airport	Halls Creek, Western Australia, Australia
YHMB	HMG		Hermannsburg Airport	Hermannsburg, Northern Territory, Australia
YHML	HLT		Hamilton Airport	Hamilton, Victoria, Australia
YHOO	HOK		Lajamanu Airport (Hooker Creek Airport)	Lajamanu, Northern Territory, Australia
YHOT	MHU		Mount Hotham Airport	Mount Hotham, Victoria, Australia
YHPN	HTU		Hopetoun Airport	Hopetoun, Victoria, Australia
YHSM	HSM		Horsham Airport	Horsham, Victoria, Australia
YHTL	HAT		Heathlands Airport	Heathlands, Queensland, Australia
YHUG	HGD		Hughenden Airport	Hughenden, Queensland, Australia
YIDK	IDK		Indulkana Airport	Indulkana, South Australia, Australia
YIFL	IFL		Innisfail Airport	Innisfail, Queensland, Australia
YIFY	IFF		Iffley Airport	Iffley, Queensland, Australia
YIGM	IGH		Ingham Airport	Ingham, Queensland, Australia
YIKM	IKP		Inkerman Airport	Inkerman, Queensland, Australia
YINJ	INJ		Injune Airport	Injune, Queensland, Australia
YINN	INM		Innamincka Airport	Innamincka, South Australia, Australia
YINW	IVW		Inverway Airport	Inverway, Northern Territory, Australia
YISF	ISI		Isisford Airport	Isisford, Queensland, Australia
YIVL	IVR		Inverell Airport	Inverell, New South Wales, Australia
YJAB	JAB		Jabiru Airport	Jabiru, Northern Territory, Australia
YJDA	JUN		Jundah Airport	Jundah, Queensland, Australia
YJLC	JCK		Julia Creek Airport	Julia Creek, Queensland, Australia
YJNB	JUR		Jurien Bay Airport	Jurien Bay, Western Australia, Australia
YKBL	KDB		Kambalda Airport	Kambalda, Western Australia, Australia
YKBR	KAX		Kalbarri Airport	Kalbarri, Western Australia, Australia
YKBY	KBY		Streaky Bay Airport	Streaky Bay, South Australia, Australia
YKCA	KBJ		Kings Canyon Airport	Kings Canyon, Northern Territory, Australia
YKCS	KCS		Kings Creek Airport	Kings Creek, Northern Territory, Australia
YKER	KRA		Kerang Airport	Kerang, Victoria, Australia
YKII	KNS		King Island Airport	Currie, Tasmania, Australia
YKKG	KFG		Kalkurung Airport	Daguragu / Kalkaringi, Northern Territory, Australia
YKLA	KOH		Koolatah Airport	Koolatah, Queensland, Australia
YKLB	KKP		Koolburra Airport	Koolburra, Queensland, Australia
YKMB	KRB		Karumba Airport	Karumba, Queensland, Australia
YKML	KML		Kamileroi Airport	Kamileroi, Queensland, Australia
YKMP	KPS		Kempsey Airport	Kempsey, New South Wales, Australia
YKNG	KNI		Katanning Airport	Katanning, Western Australia, Australia
YKOW	KWM		Kowanyama Airport	Kowanyama, Queensland, Australia
YKPR	KPP		Kalpowar Airport	Kalpowar, Queensland, Australia
YPKT	PKT		Port Keats Airfield	Wadeye, Northern Territory, Australia
YKRY	KGY		Kingaroy Airport	Kingaroy, Queensland, Australia
YKSC	KGC		Kingscote Airport	Kingscote, South Australia, Australia
YKUB	KUG		Kubin Airport	Kubin, Moa Island, Queensland, Australia
YLAH	LWH		Lawn Hill Airport	Lawn Hill, Queensland, Australia
YLEC	LGH		Leigh Creek Airport	Leigh Creek, South Australia, Australia
YLEO	LNO		Leonora Airport	Leonora, Western Australia, Australia
YLEV	LEL		Lake Evella Airport	Gapuwiyak (Lake Evella), Northern Territory, Australia
YLFD	LFP		Lakefield Airport	Lakefield, Queensland, Australia
YLHI	LDH		Lord Howe Island Airport	Lord Howe Island, New South Wales, Australia
YLHR	IRG		Lockhart River Airport	Lockhart River, Queensland, Australia
YLHS	LTP		Lyndhurst Airport	Lyndhurst, Shire of Etheridge, Queensland, Australia
YLIN	LDC		Lindeman Island Airport	Lindeman Island, Queensland, Australia
YLIS	LSY		Lismore Airport	Lismore, New South Wales, Australia
YLKN	LNH		Lake Nash Airport	Lake Nash, Northern Territory, Australia
YLND	LKD		Lakeland Downs Airport	Lakeland Downs, Queensland, Australia
YLOK	LOC		Lock Airport	Lock, South Australia, Australia
YLOR	LOA		Lorraine Airport	Lorraine, Queensland, Australia
YLOV	LTV		Lotus Vale Station Airport	Lotus Vale Station, Queensland, Australia
YLRA	LUU		Laura Airport	Laura, Queensland, Australia
YLRD	LHG		Lightning Ridge Airport	Lightning Ridge, New South Wales, Australia
YLRE	LRE		Longreach Airport	Longreach, Queensland, Australia
YLRS	LUT		Laura Station Airport	Laura Station, Queensland, Australia
YLST	LER		Leinster Airport	Leinster, Western Australia, Australia
YLTN	LVO		Laverton Airport	Laverton, Western Australia, Australia
YLZI	LZR		Lizard Island Airport	Lizard Island, Queensland, Australia
YMAV	AVV		Avalon Airport	Avalon, Victoria, Australia
YMAY	ABX		Albury Airport	Albury, New South Wales, Australia
YMBA	MRG		Mareeba Airport	Mareeba, Queensland, Australia
YMBL	MBB		Marble Bar Airport	Marble Bar, Western Australia, Australia
YMCT	MLR		Millicent Airport	Millicent, South Australia, Australia
YMDG	DGE		Mudgee Airport	Mudgee, New South Wales, Australia
YMDI	MQA		Mandora Station Airport	Mandora Station, Western Australia, Australia
YMDS	MNW		Macdonald Downs Airport	Macdonald Downs, Northern Territory, Australia
YMEK	MKR		Meekatharra Airport	Meekatharra, Western Australia, Australia
YMEN	MEB		Essendon Airport	Melbourne, Victoria, Australia
YMER	MIM		Merimbula Airport	Merimbula, New South Wales, Australia
YMEU	MLV		Merluna Airport	Merluna, Queensland, Australia
YMGB	MGT		Milingimbi Airport	Milingimbi Island, Northern Territory, Australia
YMGD	MNG		Maningrida Airport	Maningrida, Northern Territory, Australia
YMGN	GSN		Mount Gunson Airport	Mount Gunson, South Australia, Australia
YMGT	MGV		Margaret River Airport	Margaret River, Western Australia, Australia
YMGV	MVU		Musgrave Airport	Musgrave, Queensland, Australia
YMHB	HBA		Hobart Airport	Hobart, Tasmania, Australia
YMHO	MHO		Mount House Airport	Mount House, Western Australia, Australia
YMHU	MCV		McArthur River Airport	McArthur River, Northern Territory, Australia
YMIA	MQL		Mildura Airport	Mildura, Victoria, Australia
YMIN	XML		Minlaton Airport	Minlaton, South Australia, Australia
YMIP	MIH		Mitchell Plateau Airport	Mitchell Plateau, Western Australia, Australia
YMIR	MWY		Miranda Downs Airport	Miranda Downs, Queensland, Australia
YMIT	MTQ		Mitchell Airport	Mitchell, Queensland, Australia
YMJM	MJP		Manjimup Airport	Manjimup, Western Australia, Australia
YMLT	LST		Launceston Airport	Launceston, Tasmania, Australia
YMMB	MBW		Moorabbin Airport	Moorabbin, Victoria, Australia
YMML	MEL		Melbourne Airport	Melbourne, Victoria, Australia
YMMU	MMM		Middlemount Airport	Middlemount, Queensland, Australia
YMND	MTL		Maitland Airport	Maitland, New South Wales, Australia
YMNE	WME		Mount Keith Airport	Mount Keith, Western Australia, Australia
YMNS	MSF		Mount Swan Airport	Mount Swan, Northern Territory, Australia
YMOG	MMG		Mount Magnet Airport	Mount Magnet, Western Australia, Australia
YMOR	MRZ		Moree Airport	Moree, New South Wales, Australia
YMOT	MET		Moreton Airport	Moreton, Queensland, Australia
YMPA	MIN		Minnipa Airport	Minnipa, South Australia, Australia
YMRB	MOV		Moranbah Airport	Moranbah, Queensland, Australia
YMRW	MWB		Morawa Airport	Morawa, Western Australia, Australia
YMRY	MYA		Moruya Airport	Moruya, New South Wales, Australia
YMTG	MGB		Mount Gambier Airport	Mount Gambier, Australia
YMTO	MNQ		Monto Airport	Monto, Queensland, Australia
YMUC	MUQ		Muccan Station Airport	Muccan Station, Western Australia, Australia
YMUG	MNE		Mungeranie Airport	Mungeranie, South Australia, Australia
YMUI	MYI		Murray Island Airport	Murray Island, Torres Strait Islands, Queensland, Australia
YMUK	MVK		Mulka Airport	Mulka, South Australia, Australia
YMUP	MUP		Mulga Park Airport	Mulga Park, Northern Territory, Australia
YMVG	MKV		Mount Cavenagh Airport	Mount Cavenagh, Northern Territory, Australia
YMWA	MXU		Mullewa Airport	Mullewa, Western Australia, Australia
YMWT	MWT		Moolawatana Airport	Moolawatana, South Australia, Australia
YMWX	MXD		Marion Downs Airport	Marion Downs, Queensland, Australia
YMYB	MBH		Maryborough Airport	Maryborough, Queensland, Australia
YMYR	MYO		Camballin Airport	Myroodah Station, Western Australia, Australia
YSNF	NLK		Norfolk Island Airport	Norfolk Island, Australia
YNWN	ZNE		Newman Airport	Newman, Western Australia, Australia
YOLA	XCO		Colac Airport	Colac, Victoria, Australia
YOOM	MOO		Moomba Airport	Moomba, South Australia, Australia
YPAD	ADL		Adelaide International Airport	Adelaide, South Australia, Australia
YPBO	PBO		Paraburdoo Airport	Paraburdoo, Western Australia, Australia
YPDN	DRW		Darwin International Airport	Darwin, Northern Territory, Australia
YPEC	BEO		Newcastle - Belmont Airport	Newcastle, New South Wales, Australia
YPGV	GOV		Nhulunbuy Airport	Gove, Northern Territory, Australia
YPIR	PPI		Port Pirie Airport	Port Pirie, South Australia, Australia
YPJT	JAD		Jandakot Airport	Jandakot, Western Australia, Australia
YPKA	KTA		Karratha Airport	Karratha / Dampier, Western Australia, Australia
YPKG	KGI		Kalgoorlie-Boulder Airport	Kalgoorlie, Western Australia, Australia
YPKU	KNX		Kununurra Airport	Kununurra, Western Australia, Australia
YPLM	LEA		Learmonth Airport (RAAF Learmonth)	Exmouth, Western Australia, Australia
YPMP	EDR		Edward River Airport	Edward River, Queensland, Australia
YPMQ	PQQ		Port Macquarie Airport	Port Macquarie, New South Wales, Australia
YPOD	PTJ		Portland Airport	Portland, Victoria, Australia
YPPD	PHE		Port Hedland International Airport	Port Hedland, Western Australia, Australia
YPPH	PER		Perth Airport	Perth, Western Australia, Australia
YPTN	KTR		Tindal Airport	Katherine, Northern Territory, Australia
YPXM	XCH		Christmas Island Airport	Christmas Island, Australia
YREN	RMK		Renmark Airport	Renmark, South Australia, Australia
YRMD	RCM		Richmond Airport	Richmond, Queensland, Australia
YROI	RBC		Robinvale Airport	Robinvale, Victoria, Australia
YRRB	RPB		Roper Bar Airport	Roper Bar, Northern Territory, Australia
YRTI	RTS		Rottnest Island Airport	Rottnest Island, Western Australia, Australia
YSBK	BWU		Bankstown Airport	Bankstown (near Sydney), New South Wales, Australia
YSCB	CBR		Canberra International Airport	Canberra, Australia
YSCN	CDU		Camden Airport	Camden, New South Wales, Australia
YSDU	DBO		Dubbo Airport	Dubbo, New South Wales, Australia
YSGW	ZGL		South Galway Airport	South Galway, Queensland, Australia
YSHK	MJK		Shark Bay Airport	Monkey Mia, Western Australia, Australia
YSHR	JHQ		Shute Harbour Airport	Shute Harbour, Queensland, Australia
YSMI	SIO		Smithton Airport	Smithton, Tasmania, Australia
YSNB	SNB		Snake Bay Airport	Milikapiti, Melville Island, Northern Territory, Australia
YSPE	SNH		Stanthorpe Airport	Stanthorpe, Queensland, Australia
YSPV	KSV		Springvale Airport, Queensland	Springvale, Queensland, Australia
YSSY	SYD		Sydney Airport	Mascot (near Sydney), Australia
YSTH	HLS		St. Helens Airport	St. Helens, Tasmania, Australia
YSTW	TMW		Tamworth Airport	Tamworth, New South Wales, Australia
YSWG	WGA		Wagga Wagga Airport	Wagga Wagga, New South Wales, Australia
YTAA	XTR		Tara Airport	Tara, Queensland, Australia
YTAM	XTO		Taroom Airport	Taroom, Queensland, Australia
YTGA	TAN		Tangalooma Airport	Tangalooma, Queensland, Australia
YTGM	XTG		Thargomindah Airport	Thargomindah, Queensland, Australia
YUNY	CZY		Cluny Airport	Cluny, Queensland, Australia
YWHI	WSY		Whitsunday Airstrip	Airlie Beach, Australia
YWLM	NTL		Newcastle Airport / RAAF Base Williamtown	Newcastle, New South Wales, Australia
YWOL	WOL		Illawarra Regional Airport (Wollongong Airport)	Shellharbour, Wollongong, New South Wales, Australia
YWOR	WLL		Wollogorang Airport	Wollogorang, Northern Territory, Australia
YWTL	WLO		Waterloo Airport	Waterloo, Northern Territory, Australia
YWWL	WWY		West Wyalong Airport	West Wyalong, New South Wales, Australia
YWYY	BWT		Burnie Airport	Burnie, Tasmania, Australia
YYAL	YLG		Yalgoo Airport	Yalgoo, Western Australia, Australia
YYLR	KYF		Yeelirrie Airport	Yeelirrie, Western Australia, Australia
YYMI	XMY		Yam Island Airport	Yam Island, Queensland, Australia
YYND	YUE		Yuendumu Airport	Yuendumu, Northern Territory, Australia
YYTA	KYI		Yalata Mission Airport	Yalata Mission, South Australia, Australia
ZBAA	PEK		Beijing Capital International Airport	Beijing, People's Republic of China
ZBCF	CIF		Chifeng Airport	Chifeng, Inner Mongolia, China
ZBCZ	CIH		Changzhi Airport	Changzhi, Shanxi, China
ZBDS	DSN		Dongsheng Airport	Dongsheng, China
ZBDT	DAT		Datong Airport	Datong, Shanxi, China
ZBER	ERL		Erenhot Saiwusu International Airport	Erenhot, Inner Mongolia, China
ZBHD	HDG		Handan Airport	Handan, Hebei, China
ZBHH	HET		Hohhot Baita International Airport	Hohhot, Inner Mongolia, China
ZBLA	HLD		Hailar Dongshan Airport	Hailar, Inner Mongolia, China
ZBLX	LXI		Linxi Airport	Linxi, China
ZBNY	NAY		Nanyuan Airport	Beijing, China
ZBOW	BAV		Baotou Airport	Baotou, Inner Mongolia, China
ZBSJ	SJW		Shijiazhuang Daguocun International Airport	Shijiazhuang, People's Republic of China
ZBTJ	TSN		Tianjin Binhai International Airport	Tianjin, China
ZBUH	WUA		Wuhai Airport	Wuhai, Inner Mongolia, China
ZBUL	HLH		Ulanhot Airport	Ulanhot, China
ZBXH	XIL		Xilinhot Airport	Xilinhot, Inner Mongolia, China
ZBXT	XNT		Xingtai Airport	Xingtai, Hebei, China
ZBYC	YCU		Yuncheng Guangong Airport	Yuncheng, China
ZBYN	TYN		Taiyuan Wusu International Airport	Taiyuan, Shanxi, China
ZGBH	BHY		Beihai Airport	Beihai, Guangxi, China
ZGBS	AEB		Baise Youjiang Airport	Baise, Guangxi, China
ZGCD	CGD		Changde Airport	Changde, Hunan, China
ZGDY	DYG		Zhangjiajie Airport (formerly Dayong Airport)	Zhangjiajie, Hunan, China
ZGFS	FUO		Foshan Airport	Foshan, Guangdong, China
ZGGG	CAN		Guangzhou Baiyun International Airport	Guangzhou, Guangdong, China
ZGHA	CSX		Changsha Huanghua International Airport	Changsha, Hunan, China
ZGHY	HNY		Hengyang Airport	Hengyang, Hunan, China
ZGHZ	HUZ		Huizhou Airport	Huizhou, Guangdong, China
ZGKL	KWL		Guilin Liangjiang International Airport	Guilin, Guangxi, China
ZGMX	MXZ		Meixian Airport	Meizhou, Guangdong, China
ZGNN	NNG		Nanning Wuxu International Airport	Nanning, Guangxi, China
ZGOW	SWA		Jieyang Chaoshan Airport (Shantou Airport)	Jieyang, Guangdong, China
ZGSD	ZUH		Zhuhai Sanzao Airport	Zhuhai, Guangdong, China
ZGSZ	SZX		Shenzhen Bao'an International Airport	Shenzhen, Guangdong, China
ZGWZ	WUZ		Wuzhou Changzhoudao Airport	Wuzhou, Guangxi, China
ZGXN	XIN		Xingning Airport	Xingning, China
ZGZH	LZH		Liuzhou Bailian Airport	Liuzhou, Guangxi, China
ZGZJ	ZHA		Zhanjiang Airport	Zhanjiang, Guangdong, China
ZHAY	AYN		Anyang Airport	Anyang, Henan, China
