table with row headers in column A and column headers in rows 3 through 4,,,,,,,,,,
"Table 1. Annual Estimates of the Resident Population for Incorporated Places Over 50,000, Ranked by July 1, 2011 Population: April 1, 2010 to July 1, 2011",,,,,,,,,,
Rank,Geographic Area,,"April 1, 2010",,Population Estimate (as of July 1),,,,,
399,Johns Creek city,Georgia,"76,728","76,727","77,164","79,192",,,,
400,Edinburg city,Texas,"77,100","76,960","77,458","79,147",,,,
401,Fishers town,Indiana,"76,794","76,807","77,338","79,127",,,,
402,Chino city,California,"77,983","77,983","78,227","79,059",,,,
403,Racine city,Wisconsin,"78,860","78,860","78,898","78,853",,,,
404,Lake Forest city,California,"77,264","77,264","77,454","78,439",,,,
405,Bend city,Oregon,"76,639","76,639","76,735","77,905",,,,
406,Napa city,California,"76,915","76,945","77,150","77,867",,,,
407,Indio city,California,"76,036","76,038","76,504","77,780",,,,
408,Redwood City city,California,"76,815","76,815","76,936","77,745",,,,
409,Largo city,Florida,"77,648","77,649","77,622","77,723",,,,
410,Albany city,Georgia,"77,434","77,434","77,595","77,683",,,,
411,New Rochelle city,New York,"77,062","77,062","77,156","77,606",,,,
412,Avondale city,Arizona,"76,238","76,238","76,392","77,518",,,,
413,Bryan city,Texas,"76,201","76,201","76,525","77,321",,,,
414,Camden city,New Jersey,"77,344","77,344","77,335","77,283",,,,
415,St. Joseph city,Missouri,"76,780","76,803","76,658","77,185",,,,
416,Bellflower city,California,"76,616","76,616","76,681","77,170",,,,
417,Bloomington city,Illinois,"76,610","76,610","76,735","77,071",,,,
418,Lawrence city,Massachusetts,"76,377","76,377","76,514","76,976",,,,
419,Brooklyn Park city,Minnesota,"75,781","75,781","75,891","76,853",,,,
420,Meridian city,Idaho,"75,092","75,092","75,308","76,750",,,,
421,Tustin city,California,"75,540","75,540","75,726","76,689",,,,
422,Somerville city,Massachusetts,"75,754","75,754","75,887","76,519",,,,
423,Lynchburg city,Virginia,"75,568","75,568","75,716","76,504",,,,
424,Palm Coast city,Florida,"75,180","75,176","75,430","76,499",,,,
425,Deerfield Beach city,Florida,"75,018","75,018","75,191","76,389",,,,
426,Kennewick city,Washington,"73,917","73,917","74,461","76,224",,,,
427,Decatur city,Illinois,"76,122","76,122","76,115","76,096",,,,
428,Melbourne city,Florida,"76,068","76,068","76,131","76,095",,,,
429,Scranton city,Pennsylvania,"76,089","76,089","76,084","75,995",,,,
430,Baldwin Park city,California,"75,390","75,390","75,453","75,940",,,,
431,Chino Hills city,California,"74,799","74,799","75,053","75,928",,,,
432,Medford city,Oregon,"74,907","74,907","74,998","75,501",,,,
433,Arlington Heights village,Illinois,"75,101","75,101","75,178","75,428",,,,
434,Bethlehem city,Pennsylvania,"74,982","74,982","75,068","75,266",,,,
435,Mountain View city,California,"74,066","74,066","74,262","75,235",,,,
436,Fayetteville city,Arkansas,"73,580","73,580","73,921","75,102",,,,
437,Upland city,California,"73,732","73,732","73,982","74,837",,,,
438,Evanston city,Illinois,"74,486","74,486","74,556","74,785",,,,
439,Alameda city,California,"73,812","73,812","73,948","74,774",,,,
440,St. George city,Utah,"72,897","72,897","73,107","74,770",,,,
441,Kalamazoo city,Michigan,"74,262","74,262","74,352","74,743",,,,
442,Schaumburg village,Illinois,"74,227","74,227","74,305","74,550",,,,
443,Bolingbrook village,Illinois,"73,366","73,366","73,506","73,802",,,,
444,San Ramon city,California,"72,148","72,148","72,397","73,333",,,,
445,Baytown city,Texas,"71,802","71,802","72,108","73,322",,,,
446,New Britain city,Connecticut,"73,206","73,206","73,215","73,261",,,,
447,Appleton city,Wisconsin,"72,623","72,623","72,768","73,243",,,,
448,Folsom city,California,"72,203","72,203","72,346","73,001",,,,
449,Canton city,Ohio,"73,007","73,014","72,978","72,919",,,,
450,Wyoming city,Michigan,"72,125","72,125","72,175","72,833",,,,
451,Pharr city,Texas,"70,400","70,400","70,883","72,513",,,,
452,Lake Charles city,Louisiana,"71,993","71,993","72,177","72,475",,,,
453,Southfield city,Michigan,"71,739","71,739","71,758","72,201",,,,
454,Gastonia city,North Carolina,"71,741","71,741","71,780","72,068",,,,
455,Plymouth city,Minnesota,"70,576","70,576","70,678","71,561",,,,
456,Auburn city,Washington,"70,180","70,180","70,376","71,517",,,,
457,Rochester Hills city,Michigan,"70,995","70,995","71,013","71,452",,,,
458,Springdale city,Arkansas,"69,797","69,792","70,157","71,397",,,,
459,Wilmington city,Delaware,"70,851","70,852","70,920","71,305",,,,
460,Pleasanton city,California,"70,285","70,285","70,418","71,215",,,,
461,Pawtucket city,Rhode Island,"71,148","71,148","71,163","71,153",,,,
462,Waukesha city,Wisconsin,"70,718","70,718","70,740","70,867",,,,
463,Jacksonville city,North Carolina,"70,145","70,145","70,719","70,801",,,,
464,Union City city,California,"69,516","69,516","69,645","70,436",,,,
465,Lynwood city,California,"69,772","69,772","69,825","70,257",,,,
466,Apple Valley town,California,"69,135","69,135","69,369","70,172",,,,
467,Muncie city,Indiana,"70,085","70,085","70,091","70,080",,,,
468,Perris city,California,"68,386","68,386","68,808","69,967",,,,
469,Passaic city,New Jersey,"69,781","69,781","69,835","69,893",,,,
470,Missouri City city,Texas,"67,358","67,358","67,964","69,774",,,,
471,Redlands city,California,"68,747","68,749","68,975","69,752",,,,
472,Mount Pleasant town,South Carolina,"67,843","67,874","68,097","69,357",,,,
473,Gulfport city,Mississippi,"67,793","67,793","68,060","69,220",,,,
474,Rapid City city,South Dakota,"67,956","67,956","68,236","69,200",,,,
475,Turlock city,California,"68,549","68,549","68,677","69,089",,,,
476,Boynton Beach city,Florida,"68,217","68,217","68,361","68,996",,,,
477,Iowa City city,Iowa,"67,862","67,873","68,051","68,947",,,,
478,Palatine village,Illinois,"68,557","68,557","68,628","68,858",,,,
479,Waterloo city,Iowa,"68,406","68,406","68,462","68,653",,,,
480,Santa Fe city,New Mexico,"67,947","67,943","68,098","68,642",,,,
481,Jonesboro city,Arkansas,"67,263","67,261","67,442","68,547",,,,
482,Warner Robins city,Georgia,"66,588","66,588","67,013","68,500",,,,
483,Layton city,Utah,"67,311","67,311","67,604","68,495",,,,
484,Manteca city,California,"67,096","67,171","67,404","68,254",,,,
485,Loveland city,Colorado,"66,859","66,859","67,070","68,203",,,,
486,Lauderhill city,Florida,"66,887","66,887","67,042","68,117",,,,
487,Lafayette city,Indiana,"67,140","67,140","67,190","67,947",,,,
488,Milpitas city,California,"66,790","66,790","66,958","67,804",,,,
489,Mount Vernon city,New York,"67,292","67,290","67,374","67,780",,,,
490,Rock Hill city,South Carolina,"66,154","66,158","66,410","67,423",,,,
491,Missoula city,Montana,"66,788","66,788","66,873","67,290",,,,
492,Redondo Beach city,California,"66,748","66,748","66,804","67,233",,,,
493,Temple city,Texas,"66,102","66,130","66,691","67,188",,,,
494,Union City city,New Jersey,"66,455","66,455","66,529","67,187",,,,
495,Flower Mound town,Texas,"64,669","64,671","65,117","67,019",,,,
496,Kenner city,Louisiana,"66,702","66,702","66,701","66,715",,,,
497,Eau Claire city,Wisconsin,"65,883","65,888","65,978","66,623",,,,
498,St. Charles city,Missouri,"65,794","65,794","66,008","66,598",,,,
499,Youngstown city,Ohio,"66,982","66,982","66,846","66,571",,,,
500,Weston city,Florida,"65,333","65,333","65,485","66,544",,,,
501,Portland city,Maine,"66,194","66,194","66,125","66,363",,,,
502,Oshkosh city,Wisconsin,"66,083","66,083","66,119","66,344",,,,
503,Goodyear city,Arizona,"65,275","65,275","65,391","66,309",,,,
504,Schenectady city,New York,"66,135","66,135","66,221","66,273",,,,
505.5,St. Cloud city,Minnesota,"65,842","65,842","65,902","66,169",,,,
505.5,Frederick city,Maryland,"65,239","65,239","65,463","66,169",,,,
507,Harlingen city,Texas,"64,849","64,869","65,140","66,122",,,,
508,Davis city,California,"65,622","65,622","65,705","66,016",,,,
509,Dothan city,Alabama,"65,496","65,496","65,637","66,010",,,,
510,Flagstaff city,Arizona,"65,870","65,870","65,956","65,914",,,,
511,Camarillo city,California,"65,201","65,222","65,392","65,895",,,,
512,Rancho Cordova city,California,"64,776","64,805","64,960","65,606",,,,
513,Palo Alto city,California,"64,403","64,403","64,571","65,412",,,,
514,Yorba Linda city,California,"64,234","64,234","64,392","65,215",,,,
515,Walnut Creek city,California,"64,173","64,173","64,390","65,211",,,,
516,Jackson city,Tennessee,"65,211","65,211","65,227","65,187",,,,
517,Skokie village,Illinois,"64,784","64,784","64,852","65,066",,,,
518,Yuba City city,California,"64,925","64,925","65,009","65,050",,,,
519,North Richland Hills city,Texas,"63,343","63,343","63,617","64,780",,,,
520,Eagan city,Minnesota,"64,206","64,206","64,303","64,765",,,,
521,San Clemente city,California,"63,522","63,522","63,679","64,491",,,,
522,South San Francisco city,California,"63,632","63,632","63,735","64,409",,,,
523,East Orange city,New Jersey,"64,270","64,270","64,281","64,365",,,,
524,Franklin city,Tennessee,"62,487","62,494","62,798","64,317",,,,
525,Pittsburg city,California,"63,264","63,260","63,476","64,294",,,,
526,Lorain city,Ohio,"64,097","64,097","64,135","64,152",,,,
527,Laguna Niguel city,California,"62,979","62,979","63,136","63,940",,,,
528,Johnson City city,Tennessee,"63,152","63,150","63,333","63,815",,,,
529,Bayonne city,New Jersey,"63,024","63,024","63,096","63,722",,,,
530,Fort Myers city,Florida,"62,298","62,296","62,460","63,512",,,,
531,Janesville city,Wisconsin,"63,575","63,575","63,558","63,479",,,,
532,Pico Rivera city,California,"62,942","62,942","62,995","63,400",,,,
533,Shawnee city,Kansas,"62,209","62,209","62,389","63,219",,,,
534,Pasco city,Washington,"59,781","59,781","60,600","63,186",,,,
535,Lodi city,California,"62,134","62,134","62,350","63,133",,,,
536,Victoria city,Texas,"62,592","62,592","62,629","63,131",,,,
537,Montebello city,California,"62,500","62,500","62,554","62,954",,,,
538,North Little Rock city,Arkansas,"62,304","62,304","62,441","62,886",,,,
539,Hamilton city,Ohio,"62,477","62,477","62,596","62,795",,,,
540,Woodbury city,Minnesota,"61,961","61,961","62,184","62,787",,,,
541,Bossier City city,Louisiana,"61,315","61,315","61,608","62,745",,,,
542,Bismarck city,North Dakota,"61,272","61,274","61,575","62,665",,,,
543,Taylor city,Michigan,"63,131","63,131","62,944","62,489",,,,
544,Council Bluffs city,Iowa,"62,230","62,228","62,377","62,466",,,,
545,Maple Grove city,Minnesota,"61,567","61,567","61,657","62,440",,,,
546,Rockville city,Maryland,"61,209","61,209","61,439","62,334",,,,
547,Madera city,California,"61,416","61,416","61,650","62,219",,,,
548,Utica city,New York,"62,235","62,235","62,233","62,110",,,,
549,Homestead city,Florida,"60,512","60,512","60,673","61,940",,,,
550,Coon Rapids city,Minnesota,"61,476","61,476","61,593","61,904",,,,
551,Eden Prairie city,Minnesota,"60,797","60,797","60,885","61,657",,,,
552,Tamarac city,Florida,"60,427","60,427","60,567","61,542",,,,
553,Haverhill city,Massachusetts,"60,879","60,879","60,987","61,351",,,,
554,Kissimmee city,Florida,"59,682","59,682","59,917","61,346",,,,
555,Delray Beach city,Florida,"60,522","60,522","60,650","61,209",,,,
556,Waltham city,Massachusetts,"60,632","60,632","60,717","61,181",,,,
557,La Habra city,California,"60,239","60,245","60,395","61,164",,,,
558,Gaithersburg city,Maryland,"59,933","59,933","60,160","61,045",,,,
559,Daytona Beach city,Florida,"61,005","61,005","61,011","61,028",,,,
560,Terre Haute city,Indiana,"60,785","60,785","60,807","60,961",,,,
561,Vineland city,New Jersey,"60,724","60,724","60,810","60,952",,,,
562,Burnsville city,Minnesota,"60,306","60,306","60,398","60,828",,,,
563,Marysville city,Washington,"60,020","60,020","60,191","60,785",,,,
564,Meriden city,Connecticut,"60,868","60,868","60,866","60,770",,,,
565,West Allis city,Wisconsin,"60,411","60,411","60,464","60,714",,,,
566,Monterey Park city,California,"60,269","60,269","60,320","60,707",,,,
567,Bristol city,Connecticut,"60,477","60,477","60,484","60,525",,,,
568,Conway city,Arkansas,"58,908","58,908","59,304","60,470",,,,
569,Encinitas city,California,"59,518","59,518","59,711","60,400",,,,
570,Greenville city,South Carolina,"58,409","59,139","59,390","60,379",,,,
571,Santa Cruz city,California,"59,946","59,948","60,049","60,342",,,,
572,Springfield city,Ohio,"60,608","60,608","60,554","60,333",,,,
573,Tulare city,California,"59,278","59,333","59,513","60,289",,,,
574,North Miami city,Florida,"58,786","58,786","58,939","60,143",,,,
575,Cheyenne city,Wyoming,"59,466","59,483","59,739","60,096",,,,
576,Malden city,Massachusetts,"59,450","59,450","59,563","60,071",,,,
577,Lancaster city,Pennsylvania,"59,322","59,322","59,693","60,058",,,,
578,Pontiac city,Michigan,"59,515","59,515","59,531","59,887",,,,
579,St. Clair Shores city,Michigan,"59,715","59,715","59,713","59,798",,,,
580,Taylorsville city,Utah,"58,652","58,652","58,858","59,767",,,,
581,Springfield city,Oregon,"59,403","59,403","59,431","59,695",,,,
582,New Braunfels city,Texas,"57,740","57,742","58,226","59,590",,,,
583,Alpharetta city,Georgia,"57,551","57,551","57,877","59,397",,,,
584,National City city,California,"58,582","58,578","58,750","59,369",,,,
585,Gardena city,California,"58,829","58,829","58,878","59,253",,,,
586,Cupertino city,California,"58,302","58,302","58,455","59,220",,,,
587,Ames city,Iowa,"58,965","58,965","58,981","59,042",,,,
588,Conroe city,Texas,"56,207","57,038","57,466","58,973",,,,
589,Great Falls city,Montana,"58,505","58,579","58,711","58,950",,,,
590,Bowling Green city,Kentucky,"58,067","58,062","58,242","58,894",,,,
591,Lakewood city,Washington,"58,163","58,163","58,173","58,839",,,,
592,Grand Junction city,Colorado,"58,566","58,564","58,402","58,704",,,,
593,Des Plaines city,Illinois,"58,364","58,364","58,425","58,617",,,,
594,Huntington Park city,California,"58,114","58,114","58,165","58,536",,,,
595,Petaluma city,California,"57,941","57,941","58,041","58,453",,,,
596,Rocklin city,California,"56,974","56,904","57,197","58,324",,,,
597,San Rafael city,California,"57,713","57,713","57,800","58,313",,,,
598,Dubuque city,Iowa,"57,637","57,637","57,778","58,234",,,,
599,Chapel Hill town,North Carolina,"57,233","57,233","57,389","58,011",,,,
600,West Des Moines city,Iowa,"56,609","56,609","56,875","57,909",,,,
601,La Mesa city,California,"57,065","57,065","57,251","57,907",,,,
602,North Port city,Florida,"57,357","57,357","57,448","57,780",,,,
603,Idaho Falls city,Idaho,"56,813","56,813","57,022","57,646",,,,
604,Mansfield city,Texas,"56,368","56,368","56,611","57,627",,,,
605,Royal Oak city,Michigan,"57,236","57,236","57,251","57,607",,,,
606,Owensboro city,Kentucky,"57,265","57,267","57,323","57,605",,,,
607,Blaine city,Minnesota,"57,186","57,186","57,295","57,584",,,,
608,Rogers city,Arkansas,"55,964","55,964","56,365","57,539",,,,
609,Rowlett city,Texas,"56,199","56,199","56,406","57,463",,,,
610,Rocky Mount city,North Carolina,"57,477","57,475","57,482","57,433",,,,
611,Marietta city,Georgia,"56,579","56,593","56,727","57,357",,,,
612,Broomfield city,Colorado,"55,889","55,889","56,113","57,352",,,,
613,White Plains city,New York,"56,853","56,853","56,923","57,258",,,,
614,Dearborn Heights city,Michigan,"57,774","57,774","57,605","57,186",,,,
615,Wellington village,Florida,"56,508","56,508","56,629","57,163",,,,
616,Orland Park village,Illinois,"56,767","56,767","56,826","57,016",,,,
617,Tinley Park village,Illinois,"56,703","56,703","56,769","56,965",,,,
618,Oak Lawn village,Illinois,"56,690","56,690","56,748","56,937",,,,
619,Berwyn city,Illinois,"56,657","56,657","56,718","56,906",,,,
620,Arcadia city,California,"56,364","56,364","56,411","56,769",,,,
621,Medford city,Massachusetts,"56,173","56,173","56,272","56,738",,,,
622,Port Orange city,Florida,"56,048","56,505","56,512","56,529",,,,
623,Ocala city,Florida,"56,315","56,315","56,333","56,517",,,,
624,Lakeville city,Minnesota,"55,954","55,954","56,041","56,443",,,,
625,Kettering city,Ohio,"56,163","56,163","56,233","56,427",,,,
626,Moore city,Oklahoma,"55,081","55,081","55,342","56,315",,,,
627,Fountain Valley city,California,"55,313","55,313","55,448","56,153",,,,
628,Valdosta city,Georgia,"54,518","54,763","54,978","56,019",,,,
629,Casper city,Wyoming,"55,316","55,316","55,333","55,988",,,,
630,Anderson city,Indiana,"56,129","56,129","56,136","55,957",,,,
631,Diamond Bar city,California,"55,544","55,544","55,593","55,951",,,,
632,Taunton city,Massachusetts,"55,874","55,874","55,899","55,940",,,,
633,Jupiter town,Florida,"55,156","55,276","55,394","55,911",,,,
634,Decatur city,Alabama,"55,683","55,683","55,738","55,902",,,,
635,Woodland city,California,"55,468","55,468","55,539","55,806",,,,
636,Novi city,Michigan,"55,224","55,224","55,238","55,583",,,,
637,West Haven city,Connecticut,"55,564","55,564","55,561","55,477",,,,
638,New Brunswick city,New Jersey,"55,181","55,181","55,234","55,444",,,,
639,Carson City,Nevada,"55,274","55,274","55,212","55,439",,,,
640,Midwest City city,Oklahoma,"54,371","54,371","54,576","55,427",,,,
641,Chicopee city,Massachusetts,"55,298","55,298","55,325","55,333",,,,
642,Bowie city,Maryland,"54,727","54,727","54,842","55,232",,,,
643,Redmond city,Washington,"54,144","54,144","54,313","55,228",,,,
644,Bartlett city,Tennessee,"54,613","54,613","54,689","55,055",,,,
645,Porterville city,California,"54,165","54,165","54,326","55,023",,,,
646,Eastvale city,California,(X),"53,683","54,014","54,930",,,,
647,Pocatello city,Idaho,"54,255","54,255","54,373","54,810",,,,
648,Corvallis city,Oregon,"54,462","54,461","54,428","54,674",,,,
649,Elyria city,Ohio,"54,533","54,533","54,564","54,581",,,,
650,Auburn city,Alabama,"53,380","53,391","53,587","54,566",,,,
651,Paramount city,California,"54,098","54,098","54,146","54,492",,,,
652,Mount Prospect village,Illinois,"54,167","54,167","54,224","54,403",,,,
653,Hanford city,California,"53,967","53,967","54,050","54,284",,,,
654,Margate city,Florida,"53,284","53,284","53,407","54,270",,,,
655,Santee city,California,"53,413","53,413","53,584","54,197",,,,
656,Rosemead city,California,"53,764","53,764","53,811","54,154",,,,
657,Weymouth Town city,Massachusetts,"53,743","53,743","53,846","54,116",,,,
658,Hempstead village,New York,"53,891","53,891","53,952","54,088",,,,
659,Shoreline city,Washington,"53,007","53,007","53,167","54,044",,,,
660,Port Arthur city,Texas,"53,818","53,818","53,840","53,937",,,,
661,Sanford city,Florida,"53,570","53,633","53,695","53,926",,,,
662,Coconut Creek city,Florida,"52,909","52,936","53,061","53,915",,,,
663,Highland city,California,"53,104","53,104","53,286","53,903",,,,
664,Delano city,California,"53,041","53,041","53,402","53,819",,,,
665,Manhattan city,Kansas,"52,281","52,281","52,551","53,678",,,,
666,Noblesville city,Indiana,"51,969","51,968","52,321","53,515",,,,
667,Lake Elsinore city,California,"51,821","52,214","52,533","53,417",,,,
668,St. Peters city,Missouri,"52,575","52,575","52,758","53,264",,,,
669,Wheaton city,Illinois,"52,894","52,894","52,951","53,238",,,,
670,Colton city,California,"52,154","52,155","52,331","52,940",,,,
671,Lake Havasu City city,Arizona,"52,527","52,532","52,575","52,935",,,,
672,Normal town,Illinois,"52,497","52,497","52,570","52,772",,,,
673,Blue Springs city,Missouri,"52,575","52,575","52,637","52,749",,,,
674,Grand Forks city,North Dakota,"52,838","52,838","52,903","52,631",,,,
675,Revere city,Massachusetts,"51,755","51,755","51,832","52,459",,,,
676,Novato city,California,"51,904","51,904","51,983","52,456",,,,
677,Euless city,Texas,"51,277","51,277","51,502","52,443",,,,
678,Cathedral City city,California,"51,200","51,200","51,515","52,381",,,,
679,Hendersonville city,Tennessee,"51,372","51,372","51,589","52,349",,,,
680,Sarasota city,Florida,"51,917","51,983","52,060","52,341",,,,
681,Brentwood city,California,"51,481","51,481","51,657","52,326",,,,
682,Pensacola city,Florida,"51,923","51,923","51,986","52,197",,,,
683,Florissant city,Missouri,"52,158","52,158","52,149","52,145",,,,
684,Yucaipa city,California,"51,367","51,371","51,546","52,139",,,,
685,Hoffman Estates village,Illinois,"51,895","51,895","51,948","52,124",,,,
686,Oak Park village,Illinois,"51,878","51,878","51,932","52,104",,,,
687,Battle Creek city,Michigan,"52,347","52,347","52,322","52,093",,,,
688,Smyrna city,Georgia,"51,271","51,271","51,396","51,982",,,,
689,Lakewood city,Ohio,"52,131","52,131","52,042","51,724",,,,
690,La Crosse city,Wisconsin,"51,320","51,320","51,419","51,719",,,,
691,Peabody city,Massachusetts,"51,251","51,251","51,344","51,653",,,,
692,Buckeye town,Arizona,"50,876","50,913","51,090","51,649",,,,
693,Watsonville city,California,"51,199","51,199","51,300","51,586",,,,
694,Greenwood city,Indiana,"49,791","50,851","50,988","51,584",,,,
695,South Jordan city,Utah,"50,418","50,418","50,595","51,377",,,,
696,Elkhart city,Indiana,"50,949","50,964","50,962","51,320",,,,
697,Bellevue city,Nebraska,"50,137","50,137","50,405","51,319",,,,
698,Placentia city,California,"50,533","50,533","50,656","51,302",,,,
699,Cedar Park city,Texas,"48,937","48,937","49,419","51,283",,,,
700,Saginaw city,Michigan,"51,508","51,508","51,455","51,230",,,,
701,Milford city (balance),Connecticut,"51,271","51,271","51,268","51,189",,,,
702,Charleston city,West Virginia,"51,400","51,371","51,351","51,177",,,,
703,Perth Amboy city,New Jersey,"50,814","50,814","50,870","51,093",,,,
704,Burlington city,North Carolina,"49,963","50,201","50,336","50,925",,,,
705,Albany city,Oregon,"50,158","50,158","50,222","50,724",,,,
706,Joplin city,Missouri,"50,150","50,150","50,277","50,559",,,,
707,Hoboken city,New Jersey,"50,005","50,005","50,060","50,545",,,,
708.5,Minnetonka city,Minnesota,"49,734","49,734","49,806","50,435",,,,
708.5,Glendora city,California,"50,073","50,073","50,114","50,435",,,,
710,West New York town,New Jersey,"49,708","49,708","49,766","50,260",,,,
711,Bradenton city,Florida,"49,546","49,546","49,639","50,193",,,,
712,Troy city,New York,"50,129","50,129","50,140","50,120",,,,
713,Niagara Falls city,New York,"50,193","50,193","50,211","50,086",,,,
714,Plainfield city,New Jersey,"49,808","49,808","49,898","50,085",,,,
715,DeSoto city,Texas,"49,047","49,047","49,194","50,045",,,,
"Note: Areas are included in this table if they exceed the stated threshold at any point in the time series. The April 1, 2010 Population Estimates base reflects changes to the 2010 Census population from the Boundary and Annexation Survey (BAS) and other geographic program revisions.  It does not reflect changes from the Count Question Resolution program.  All geographic boundaries for the 2011 population estimates series are defined as of January 1, 2011. An ""(X)"" in the 2010 Census field indicates a locality that was formed or incorporated after the 2010 Census. Additional information on these localities can be found in the Geographic Change Notes (see http://www.census.gov/popest/about/geo/changes.html).",,,,,,,,,,
Suggested Citation:,,,,,,,,,,
"Table 1. Annual Estimates of the Resident Population for Incorporated Places Over 50,000, Ranked by July 1, 2011 Population: April 1, 2010 to July 1, 2011 (SUB-EST2011-01)",,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,
Release Date: June 2012,,,,,,,,,,
