Primary Census Statistical Area                                	2011 Estimate	2010 Census	CnsusID	Type	Abbr	Rank	Change	Core Based Statistical Areas
Vernal, UT                                                 	        33163	      32588		µSA		 601	+1.76%
Taos, NM                                                   	        32917	      32937		µSA		 602	-0.06%
Troy, AL                                                   	        32915	      32899		µSA		 603	+0.05%
Cambridge, MD                                              	        32640	      32618		µSA		 604	+0.07%
Wabash, IN                                                 	        32608	      32888		µSA		 605	-0.85%
Mount Pleasant, TX                                         	        32596	      32334		µSA		 606	+0.81%
Columbus, NE                                               	        32593	      32237		µSA		 607	+1.10%
Macomb, IL                                                 	        32582	      32612		µSA		 608	-0.09%
Paris, TN                                                  	        32352	      32330		µSA		 609	+0.07%
Madison, IN                                                	        32249	      32428		µSA		 610	-0.55%
Brookings, SD                                              	        32226	      31965		µSA		 611	+0.82%
Juneau, AK                                                 	        32164	      31275		µSA		 612	+2.84%
Beeville, TX                                               	        32095	      31861		µSA		 613	+0.73%
Kennett, MO                                                	        31974	      31953		µSA		 614	+0.07%
Miami, OK                                                  	        31860	      31848		µSA		 615	+0.04%
Dillon, SC                                                 	        31758	      32062		µSA		 616	-0.95%
St. Marys, PA                                              	        31751	      31946		µSA		 617	-0.61%
Jackson, WY-ID                                             	        31714	      31464		µSA		 618	+0.79%
Hope, AR                                                   	        31558	      31606		µSA		 619	-0.15%
Maysville, KY                                              	        31531	      31360		µSA		 620	+0.55%
Central City, KY                                           	        31272	      31499		µSA		 621	-0.72%
Albert Lea, MN                                             	        31172	      31255		µSA		 622	-0.27%
Camden, AR                                                 	        31024	      31488		µSA		 623	-1.47%
Lewisburg, TN                                              	        30881	      30617		µSA		 624	+0.86%
Iron Mountain, MI-WI                                       	        30625	      30591		µSA		 625	+0.11%
Jesup, GA                                                  	        30327	      30099		µSA		 626	+0.76%
Lincoln, IL                                                	        30140	      30305		µSA		 627	-0.54%
Kirksville, MO                                             	        29933	      30038		µSA		 628	-0.35%
Eufaula, AL-GA                                             	        29583	      29970		µSA		 629	-1.29%
Alpena, MI                                                 	        29386	      29598		µSA		 630	-0.72%
Silver City, NM                                            	        29380	      29514		µSA		 631	-0.45%
Las Vegas, NM                                              	        29301	      29393		µSA		 632	-0.31%
Indianola, MS                                              	        29296	      29450		µSA		 633	-0.52%
McPherson, KS                                              	        29241	      29180		µSA		 634	+0.21%
Sheridan, WY                                               	        29239	      29116		µSA		 635	+0.42%
Washington Court House, OH                                 	        28985	      29030		µSA		 636	-0.16%
Hays, KS                                                   	        28742	      28452		µSA		 637	+1.02%
Middlesborough, KY                                         	        28725	      28691		µSA		 638	+0.12%
Crescent City, CA                                          	        28659	      28610		µSA		 639	+0.17%
Bennettsville, SC                                          	        28509	      28933		µSA		 640	-1.47%
Fort Morgan, CO                                            	        28175	      28159		µSA		 641	+0.06%
Silverthorne, CO                                           	        27972	      27994		µSA		 642	-0.08%
Forrest City, AR                                           	        27970	      28258		µSA		 643	-1.02%
Wauchula, FL                                               	        27887	      27731		µSA		 644	+0.56%
Great Bend, KS                                             	        27841	      27674		µSA		 645	+0.60%
Weatherford, OK                                            	        27750	      27469		µSA		 646	+1.02%
Bainbridge, GA                                             	        27694	      27842		µSA		 647	-0.53%
Grants, NM                                                 	        27658	      27213		µSA		 648	+1.64%
Fitzgerald, GA                                             	        27352	      27172		µSA		 649	+0.66%
Uvalde, TX                                                 	        26535	      26405		µSA		 650	+0.49%
Altus, OK                                                  	        26447	      26446		µSA		 651	+0.00%
Mountain Home, ID                                          	        26346	      27038		µSA		 652	-2.56%
Dickinson, ND                                              	        25993	      24982		µSA		 653	+4.05%
Toccoa, GA                                                 	        25960	      26175		µSA		 654	-0.82%
Greensburg, IN                                             	        25944	      25740		µSA		 655	+0.79%
Clarksdale, MS                                             	        25913	      26151		µSA		 656	-0.91%
Marshall, MN                                               	        25891	      25857		µSA		 657	+0.13%
La Grande, OR                                              	        25791	      25748		µSA		 658	+0.17%
Summerville, GA                                            	        25736	      26015		µSA		 659	-1.07%
New Ulm, MN                                                	        25734	      25893		µSA		 660	-0.61%
Mexico, MO                                                 	        25566	      25529		µSA		 661	+0.14%
Moberly, MO                                                	        25346	      25414		µSA		 662	-0.27%
Deming, NM                                                 	        25281	      25095		µSA		 663	+0.74%
The Dalles, OR                                             	        25234	      25213		µSA		 664	+0.08%
Fredericksburg, TX                                         	        25114	      24837		µSA		 665	+1.12%
Harrisburg, IL                                             	        24981	      24913		µSA		 666	+0.27%
Campbellsville, KY                                         	        24731	      24512		µSA		 667	+0.89%
Fallon, NV                                                 	        24637	      24877		µSA		 668	-0.96%
Magnolia, AR                                               	        24401	      24552		µSA		 669	-0.62%
Williston, ND                                              	        24374	      22398		µSA		 670	+8.82%
Spearfish, SD                                              	        24312	      24097		µSA		 671	+0.89%
Connersville, IN                                           	        24285	      24277		µSA		 672	+0.03%
Cordele, GA                                                	        23710	      23439		µSA		 673	+1.16%
Pampa, TX                                                  	        23571	      23464		µSA		 674	+0.46%
Maryville, MO                                              	        23468	      23370		µSA		 675	+0.42%
Liberal, KS                                                	        23328	      22952		µSA		 676	+1.64%
Marshall, MO                                               	        23280	      23370		µSA		 677	-0.39%
Mitchell, SD                                               	        23027	      22835		µSA		 678	+0.84%
Arkadelphia, AR                                            	        22858	      22995		µSA		 679	-0.60%
Sterling, CO                                               	        22619	      22709		µSA		 680	-0.40%
Yankton, SD                                                	        22612	      22438		µSA		 681	+0.78%
Oskaloosa, IA                                              	        22530	      22381		µSA		 682	+0.67%
Hood River, OR                                             	        22493	      22346		µSA		 683	+0.66%
Brookings, OR                                              	        22426	      22364		µSA		 684	+0.28%
Elk City, OK                                               	        22288	      22119		µSA		 685	+0.76%
Borger, TX                                                 	        22132	      22150		µSA		 686	-0.08%
Beatrice, NE                                               	        22031	      22311		µSA		 687	-1.25%
Dumas, TX                                                  	        21954	      21904		µSA		 688	+0.23%
Grenada, MS                                                	        21706	      21906		µSA		 689	-0.91%
Parsons, KS                                                	        21511	      21607		µSA		 690	-0.44%
Helena-West Helena, AR                                     	        21442	      21757		µSA		 691	-1.45%
Worthington, MN                                            	        21397	      21378		µSA		 692	+0.09%
Price, UT                                                  	        21318	      21403		µSA		 693	-0.40%
Guymon, OK                                                 	        21312	      20640		µSA		 694	+3.26%
Jamestown, ND                                              	        21062	      21100		µSA		 695	-0.18%
Evanston, WY                                               	        20985	      21118		µSA		 696	-0.63%
Fairmont, MN                                               	        20689	      20840		µSA		 697	-0.72%
Ruidoso, NM                                                	        20454	      20497		µSA		 698	-0.21%
Storm Lake, IA                                             	        20406	      20260		µSA		 699	+0.72%
Pierre, SD                                                 	        20294	      19988		µSA		 700	+1.53%
Woodward, OK                                               	        20034	      20081		µSA		 701	-0.23%
Hereford, TX                                               	        19595	      19372		µSA		 702	+1.15%
Bishop, CA                                                 	        18478	      18546		µSA		 703	-0.37%
Brownsville, TN                                            	        18470	      18787		µSA		 704	-1.69%
Los Alamos, NM                                             	        18222	      17950		µSA		 705	+1.52%
Huron, SD                                                  	        17550	      17398		µSA		 706	+0.87%
Snyder, TX                                                 	        16919	      16921		µSA		 707	-0.01%
Spirit Lake, IA                                            	        16899	      16667		µSA		 708	+1.39%
Spencer, IA                                                	        16590	      16667		µSA		 709	-0.46%
Havre, MT                                                  	        16397	      16096		µSA		 710	+1.87%
Andrews, TX                                                	        15445	      14786		µSA		 711	+4.46%
Sweetwater, TX                                             	        15269	      15216		µSA		 712	+0.35%
Kodiak, AK                                                 	        13872	      13592		µSA		 713	+2.06%
Pecos, TX                                                  	        13757	      13783		µSA		 714	-0.19%
Lamesa, TX                                                 	        13751	      13833		µSA		 715	-0.59%
Ketchikan, AK                                              	        13593	      13477		µSA		 716	+0.86%
Vernon, TX                                                 	        13404	      13535		µSA		 717	-0.97%
Tallulah, LA                                               	        12004	      12093		µSA		 718	-0.74%

